1,7 414 153 549 851,,Aspirin,500mg,20
2,3 928 391 424 338,,Kalmopyrin,500mg,30
3,564 247 394 733,2729003904,Tramadol,100mg,20
4,6 364 855 714 362,9300105884,Frontin,10mg,30
5,2 421 845 980 047,2293430909,Xanax,25mg,28
6,5 047 576 688 481,,Cataflam,50mg,20
7,6 405 401 888 459,6470134601,Merckformin,100mg,60
8,6 932 507 082 836,5056642105,Medroxyprogesterone,1000mg,100
9,2 860 093 206 894,,Methionylthreonylthreonylglutaminylarginyl isoleucine,2000mg,200
10,8 243 729 641 761,467591994,Sumetrolim,200mg,10
11,7 915 778 218 001,5361396371,Kalmopyrin,500mg,30
12,4 819 586 681 058,,Tramadol,100mg,20
13,656 271 307 482,4486461834,Frontin,10mg,30
14,4 684 458 544 975,2601607491,Xanax,25mg,28
15,9 056 933 259 378,,Cataflam,50mg,20
16,3 392 507 816 563,8309265133,Merckformin,100mg,60
17,2 105 317 598 642,,Medroxyprogesterone,1000mg,100
18,9 567 788 582 496,3727929734,Methionylthreonylthreonylglutaminylarginyl isoleucine,2000mg,200
19,6 790 297 739 592,2666869042,Aspirin,500mg,20
20,9 422 399 216 722,7628790096,Kalmopyrin,500mg,30
21,3 723 289 293 143,8277702267,Tramadol,100mg,20
22,5 281 486 823 464,,Frontin,10mg,30
23,5 772 662 168 284,9648751466,Xanax,25mg,28
24,3 573 699 300 778,3786397543,Cataflam,50mg,20
25,7 461 285 036 188,467325165,Merckformin,100mg,60
26,3 521 485 740 065,,Medroxyprogesterone,1000mg,100
27,7 826 553 800 132,3777399208,Methionylthreonylthreonylglutaminylarginyl isoleucine,2000mg,200
28,6 973 323 676 636,3548088498,Aspirin,500mg,20
29,1 883 697 595 885,1181139632,Kalmopyrin,500mg,30
30,9 966 970 350 626,,Tramadol,100mg,20
31,9 806 378 667 991,3208355768,Frontin,10mg,30
32,3 729 091 960 240,7930551170,Xanax,25mg,28
33,3 833 672 879 877,3952838856,Cataflam,50mg,20
34,4 677 139 390 901,,Merckformin,100mg,60
35,2 113 215 396 459,2652880164,Medroxyprogesterone,1000mg,100
36,1 780 629 241 968,9015411327,Methionylthreonylthreonylglutaminylarginyl isoleucine,2000mg,200
37,3 123 614 364 545,1686212572,Aspirin,500mg,20
38,5 173 960 610 299,2194003202,Kalmopyrin,500mg,30
39,4 534 879 832 736,,Tramadol,100mg,20
40,7 277 140 603 167,6080415596,Frontin,10mg,30
41,4 107 568 282 229,9742891921,Xanax,25mg,28
42,2 691 246 596 490,,Cataflam,50mg,20
43,2 945 845 476 658,5926355131,Merckformin,100mg,60
44,5 730 576 101 754,950340892,Medroxyprogesterone,1000mg,100
45,9 093 324 771 464,2299521781,Methionylthreonylthreonylglutaminylarginyl isoleucine,2000mg,200
46,8 404 628 493 715,7576363720,Aspirin,500mg,20
47,8 995 278 197 188,,Kalmopyrin,500mg,30
48,3 551 791 359 054,2417029277,Tramadol,100mg,20
49,8 918 646 676 971,9052462343,Frontin,10mg,30
50,8 149 064 007 902,4599480651,Xanax,25mg,28
51,4 765 136 518 948,,Cataflam,50mg,20
52,6 055 957 053 471,1510283596,Merckformin,100mg,60
53,5 951 781 245 456,7052811308,Medroxyprogesterone,1000mg,100
